日付,列 1,旧約1,完了,旧約2,完了 ,詩,完了  ,新約,完了   ,,,曜日,,,,,,,,
6/30(Tue),#VALUE!,Ⅱ歴 5-7,FALSE,-,FALSE,詩 121,FALSE,Iテモ 4,FALSE,,,,,,,,,,,
7/1(Wed),#VALUE!,Ⅰ列 9,FALSE,Ⅱ歴 8,FALSE,-,FALSE,Iテモ 5,FALSE,,,,,,,,,,,
7/2(Thu),#VALUE!,Ⅰ列 10-11,FALSE,Ⅱ歴 9,FALSE,-,FALSE,Iテモ 6,FALSE,,,,,,,,,,,
7/3(Fri),#VALUE!,伝道者 1-3,FALSE,-,FALSE,詩 45,FALSE,IIテモ 1,FALSE,,,,,,,,,,,
7/4(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/5(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/6(Mon),#VALUE!,伝道者 4-6,FALSE,-,FALSE,詩 125,FALSE,IIテモ 2,FALSE,,,,,,,,,,,
7/7(Tue),#VALUE!,伝道者 7-9,FALSE,-,FALSE,詩 46,FALSE,IIテモ 3,FALSE,,,,,,,,,,,
7/8(Wed),#VALUE!,伝道者 10-12,FALSE,-,FALSE,-,FALSE,IIテモ 4,FALSE,,,,,,,,,,,
7/9(Thu),#VALUE!,Ⅰ列 12,FALSE,Ⅱ歴 10-11,FALSE,-,FALSE,テト 1,FALSE,,,,,,,,,,,
7/10(Fri),#VALUE!,Ⅰ列 13-14,FALSE,Ⅱ歴 12,FALSE,詩 47,FALSE,テト 2,FALSE,,,,,,,,,,,
7/11(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/12(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/13(Mon),#VALUE!,Ⅰ列 15,FALSE,Ⅱ歴 13-14,FALSE,-,FALSE,テト 3,FALSE,,,,,,,,,,,
7/14(Tue),#VALUE!,Ⅱ歴 15-16,FALSE,Ⅰ列 16,FALSE,-,FALSE,フィ 1,FALSE,,,,,,,,,,,
7/15(Wed),#VALUE!,Ⅰ列 17-18,FALSE,-,FALSE,詩 119,FALSE,ユダ 1,FALSE,,,,,,,,,,,
7/16(Thu),#VALUE!,Ⅰ列 19-21,FALSE,Ⅱ歴 17,FALSE,詩 129,FALSE,マタ 1,FALSE,,,,,,,,,,,
7/17(Fri),#VALUE!,Ⅰ列 22,FALSE,Ⅱ歴 18,FALSE,-,FALSE,マタ 2,FALSE,,,,,,,,,,,
7/18(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/19(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/20(Mon),#VALUE!,Ⅱ歴 19-20,FALSE,Ⅱ列 1,FALSE,詩 20,FALSE,マタ 3,FALSE,,,,,,,,,,,
7/21(Tue),#VALUE!,Ⅱ列 2-3,FALSE,-,FALSE,詩 48,FALSE,マタ 4,FALSE,,,,,,,,,,,
7/22(Wed),#VALUE!,Ⅱ列 4-6,FALSE,-,FALSE,-,FALSE,マタ 5,FALSE,,,,,,,,,,,
7/23(Thu),#VALUE!,Ⅱ列 7-8,FALSE,Ⅱ歴 21,FALSE,-,FALSE,マタ 6,FALSE,,,,,,,,,,,
7/24(Fri),#VALUE!,Ⅱ列 9-10,FALSE,-,FALSE,詩 49,FALSE,マタ 7,FALSE,,,,,,,,,,,
7/25(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/26(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
7/27(Mon),#VALUE!,Ⅱ歴 22-23,FALSE,Ⅱ列 11,FALSE,詩 131,FALSE,マタ 8,FALSE,,,,,,,,,,,
7/28(Tue),#VALUE!,Ⅱ歴 24,FALSE,Ⅱ列 12,FALSE,詩 50,FALSE,マタ 9,FALSE,,,,,,,,,,,
7/29(Wed),#VALUE!,ヨエ 1-3,FALSE,-,FALSE,-,FALSE,マタ 10,FALSE,,,,,,,,,,,
7/30(Thu),#VALUE!,ヨナ 1-4,FALSE,-,FALSE,-,FALSE,マタ 11,FALSE,,,,,,,,,,,
7/31(Fri),#VALUE!,Ⅱ列 13-14,FALSE,Ⅱ歴 25,FALSE,詩 53,FALSE,マタ 12,FALSE,,,,,,,,,,,
8/1(Sat),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
8/2(Sun),,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,,,,,,,,,,
8/3(Mon),#VALUE!,アモ 1-3,FALSE,-,FALSE,-,FALSE,マタ 13,FALSE,,,,,,,,,,,
8/4(Tue),#VALUE!,アモ 4-6,FALSE,-,FALSE,詩 55,FALSE,マタ 14,FALSE,,,,,,,,,,,
8/5(Wed),#VALUE!,アモ 7-9,FALSE,-,FALSE,-,FALSE,マタ 15,FALSE,,,,,,,,,,,
